Genus + Species + Sub species + Authority,Checklist code,Endemic status,Status with Criteria (South Asia),National Status - 1,Map file,Synonyms,Common names,Family,Habit,Habitat,Niche,Distribution,Global,South Asia,Extent of Occurrence,Area of Occupancy,Locations/subpopulations,Habitat status,Data source - 1,Threats,Threats to the taxon,Trade,Data source - 2,Population,Generation time,Mature individuals,Population trend,Data source - 3,Red List 2001 Status derived in the workshop,Ver. 3.1:,1997 CAMP (Ver. 2.3):,National Status - 2,Uncertainty,Other status,Red List of Threatened Species (2000),Microchiroptera Action Plan (Global),Old World Fruit Bats Action Plan (Global),CITES,Known presence in Protected Areas,Recommendations ,Research,Management,Captive breeding,Comments ,Sources,Compilers,Reviewers,Recent Field Studies
"Rhinolophus sinicus(Andersen, 1905)",BAT97,Non Endemic to South Asia,LEAST CONCERN  in South Asia ,"India Least Concern 
Nepal Least Concern ",Rhinolophus_sinicus_map.pdf,"Rhinolophus rouxii sinicus  Andersen, 1905",Andersen’s Rufous Horseshoe Bat,Rhinolophidae,"Insectivorous, forest dweller with rainfall, colonial (1-100 individuals) ",Montane forests. ,"Humid caves, tunnels, wells, hollow trees, temples, houses. 500-2769m",,"China, India, Nepal","INDIA: Arunachal Pradesh: Siki; Himachal Pradesh: Solon; Uttaranchal: Dhakuri, Mussorie; West Bengal: Ajodhya, Darjeeling, Nimbong, Pashok; Sikkim: Tashiding; Nagaland: Takubama; Meghalaya: Cherrapunji, Mawphlang; NEPAL: Godavari, Num, Parchung, Pulchowki, Sipuri, Thankot","> 20,000 sq km. ","> 2,000 sq km. ",20.Contiguous,Decrease in area < 10% likely in the next 5 years due to habitat alteration. Decrease in quality due to human activities.,,,"Habitat loss and habitat alterations. Threats influencing the status of the taxa are not understood, not reversible and have not ceased to be a threat.",,Indirect information; Inferred; range of opinion,,4-6 years,"> 10,000. Mature individuals likely to decline in the future by <5% in the future.",Not known,"Literature; estimated and minimum/maximum, based on its wide distribution and large colony size.",,LEAST CONCERN ,,"India Least Concern 
Nepal Least Concern ",Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,None,,Survey,Monitoring,,"Rhinolophus sinicus was upgraded to species level from Rhinolophus rouxii sinicus by Nikki Thomas basing on mtDNA analysis (Srinivasulu; Bates).  Srinivasulu & Srinivasulu, 2001 and Thomas, 2000 describe its upgradation from subspecies level of Rhinolophus rouxii sinicus to Rhinolophus sinicus.","Hutson  et al.  2001; Thomas 2000, Srinivasulu & Srinivasulu, 2001","S. Mistry, M. Muni, K.R. Senacha, T.K. Shrestha, K.S. Sreepada, C. Srinivasulu, K.M. Swe ",Rest of the participants,"Nikki M. Thomas in its range in the Himalayas, India, 1999-2000, Rhinolophids of Africa and Asia."
"Rhinolophus subbadius Blyth, 1844",BAT98,Non Endemic to South Asia,VULNERABLE  in South Asia [B2ab(iii)] ,"Bangladesh Vulnerable B2ab(iii) 
India Vulnerable B2ab(iii) 
Nepal Endangered B2ab(iii) ",Rhinolophus_subbadius_map.pdf,"Rhinolophus garoensis  Dobson, 1872 ","Bengali: Sadharan Gorakhuri Chamchika  English: Chestnut Horseshoe Bat, Little Nepalese Horse-shoe bat",Rhinolophidae,Insectivorous,"Caves, dense jungles, bamboo forest",1231m. ,,"China, Bangladesh, India, Nepal, Vietnam","BANGLADESH: Sylhet, Moulvi Bazar: INDIA: Arunachal Pradesh: Khalaktang; Meghalaya: Cherrapunji, Garo hills, Mawphlang, Siju Cave; MYANMAR (NORTHERN): Nam Tamai valley; NEPAL: Kathmandu, Pokhra valley","> 20,000 sq km. ","< 2,000 sq km. ",6,"Habitat loss, change in quality of habitat.",Literature; Inferred.,,"Habitat loss, deforestation, human interference, mining might also be a threat. The influence on the population not well understood, not reversible and have not ceased to be a threat.",,,,4-6 years,"< 10,000. Mature individuals declined in the past by <10% in the last 10 years and likely to decline in the future by <10% in the next 10 years.",Decline in the past suspected and future decline predicted.,Museum record,,"VULNERABLE B2ab(iii) 
Restricted area of occupancy and threats to habitat, which has an impact on population trend.",,"Bangladesh Vulnerable B2ab(iii) 
India Vulnerable B2ab(iii) 
Nepal Endangered B2ab(iii) ","Assessed based on evidence, inference and on the consensus of field biologists.",,Data Deficient,Data Deficient,,Not listed,None,,Survey,Monitoring ,,"Sinha, 1973 worked on the museum collections. Taxonomic status of this species not clear.","Bates & Harrison, 1997; Blyth, 1844; Dobson, 1872; Das  et al. 1995; Hutson  et al.  2001; Khan, 2001; Shreshta, 1997","A. Ali, P.J.J. Bates, Y.P. Sinha, A. Thabah, W. Yapa",Rest of the participants,"Shreshtra in Pokhra Valley, Nepal, 1997, field study."
"Rhinolophus trifoliatus Temminck, 1834",BAT99,Non Endemic to South Asia,VULNERABLE  in South Asia B1ab(iii)+2ab(iii) ,,Rhinolophus_trifoliatus_map.pdf,,Trefoil Horseshoe Bat ,Rhinolophidae,Insectivorous,Dense evergreen jungle. ,Thick foliage with dense evergreen jungle,,"Borneo, India, Java, Myanmar, Thailand",INDIA: Assam: Sibsagar; West Bengal: Darjeeling; Eastern coast of India,"< 20,000 sq km. ","< 2,000 sq km. ",3 / 3. Fragmented. ,"Decline in habitat due to logging, tourism, fragmentation.","Indirect information, Literature; Suspected; inferred.",,"Habitat loss. The influence on the population not well understood, not reversible and have not ceased to be a threat.",,,,4-6 years,Not known,Not known,Museum record,,"VULNERABLE B1ab(iii)+2ab(iii) 
Restricted distribution, few fragmented locations and threats to habitat and quality.",Data Deficient,,"Assessed based on evidence, inference and on the consensus of field biologists.",,Not Evaluated,Lower Risk least concern,,Not listed,None,,"Survey, ecology","Monitoring, habitat management",Techniques not known at all. ,"Widespread distribution but no data on whether the species has a contigous or fragmented distribution. Limited number of locations, no recent records despite some surveys in its current range. It is known to live in dense evergreen forest a habitat type that is under threat in North eastern India and Myanmar.","Bates & Harrison, 1997; Hutson  et al.  2001; Sinha, 1973; Temminck, 1834","P.J.J. Bates, P.C.M.B. Digana, S. Kandula, G. Nair, R. Rajashekar, E.A.A. Shukkur, A. Thabah, W. Yapa",Rest of the participants,None
"Rhinolophus yunanensisDobson, 1872",BAT100,Non Endemic to South Asia,VULNERABLE   in South Asia [B1ab(iii)+2ab(iii)] ,,Rhinolophus_yunanensis_map.pdf,,"Asian Horseshoe Bat, Dobson's Horse-shoe Bat ",Rhinolophidae,,"Dense hill jungles, bamboo jungles",1600m. ,,"China, India, northern Myanmar, Thailand ","INDIA: Arunachal Pradesh: Dening; Mizoram: Tipai Mukhi; MYANMAR (NORTHERN): Kajihtu, Karen hills, Mahtum, Nam Tamai Valley","< 20,000 sq km. ","< 2,000 sq km. Literature; inferred.",3. Fragmented. ,"Habitat loss due to logging, fragmentation and illegal encroachments.","Literature, indirect information; Observed, inferred.",,Habitat loss.,,,,4-6 years,"< 2,500",Not known,"Literature, indirect information; Inferred",,"VULNERABLE  B1ab(iii)+2ab(iii) 
Only a few locations in South Asia and loss of habitat can deplete numbers in this specialized bat.",Data Deficient ,,"Assessed based on evidence, inference, precaution and on the consensus of field biologists.",,Lower Risk near threatened,Lower Risk near threatened,,Not listed,None,,"Survey, ecological studies, taxonomy.",Monitoring,Techniques not known at all. ,Widespread distribution in Myanmar. Conservative estimate of population. It is a little known species but with extensive range in Myanmar. Revision in taxonomy suggested (Sinha).,"Bates & Harrison, 1997; Dobson, 1872; Hutson  et al.  2001","A. Ali, Bates, P.C.M.B. Digana, S. Kandula, G. Nair, R. Rajashekar, E.A.A. Shukkur, A. Thabah, W. Yapa",Rest of the participants,None
"Rhinopoma hardwickii Gray, 1831",BAT101,Non Endemic to South Asia,LEAST CONCERN  in South Asia  ,"Bangladesh Least Concern 
India Least Concern 
Pakistan Least Concern ",Rhinopoma_hardwickii_map.pdf,,Bengali: Chhoto Indur-lenji Badur  English: Lesser Mouse-tailed Bat,Rhinopomatidae,Colonial,"Wide crevices, temple","Old ruins, tunnels, buildings, dark sites in crevices. Up to 108m. ",,"Afghanistan, Arabia, Bangladesh, India, Iran Myanmar, Morroco, Mauritania to East Africa, Niger, Pakistan","AFGHANISTAN: Between Darunta and Bisut, Cha Waki Sarkani, Hadda, Jalalabad, Katar, Nurgul, Tschambel/Dewagall, Tut-Tangai: BANGLADESH: Southwestern, Sunderbans: INDIA: Andhra Pradesh: Hyderabad, Koduru, Palkonda Hills; Bihar: Bhojpur, Gaya, Munger; Gujarat: Ahmedabad, Anand, Bhuj, Danta, Junagadh, Lunwa, Palanpur, Rajkot, Vankaneer, Vedtial; Jharkhand: Giridih; Karnataka: Badami, Chitradurga, Gadag, Pattadkal, Vijaynagar; Madhya Pradesh: Balaghat, Ghatigaon, Gwalior, Jabalpur, Kanha National Park, Mandla, Morar, Narsingarh, Orcha; New Delhi: New Delhi; Orissa: Bhubaneswar, Udayagiri; Rajasthan: Ajmer, Bundi, Dungarpur, Jaipur, Jhalawar, Jhunjhunu, Jodhpur, Nagaur, Nasirabad; Tamil Nadu: Dharmapuri range, Kanavi Katha Bootham, Madras, Madurai, Marungoor, Pannian Malai; Uttar Pradesh: Agra, Allahabad, Fatehpur Sikri, Giridih, Pratabgarh, Rohtas; West Bengal: Kolkata; PAKISTAN: NWFP: Amb; Punjab: Ara, Chitti Dil, Rohtas, Sakesar; Sind: Karachi, Karchat Hills, Landhi","> 20,000 sq km.","> 2,000 sq km.",Many,Stable,"Literature, Indirect information; Inferred.",,"Habitat loss, pollution, chemical, pesticides.",,,,4-6 years,"> 10,000",Not known,"Field study, museum record; Inferred.",,LEAST CONCERN  ,,"Bangladesh Least Concern 
India Least Concern 
Pakistan Least Concern ",Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,Lower Risk least concern,,Not listed,INDIA: Madhya Pradesh: Kanha National Park,,Survey,Monitoring ,,Widely distributed.,"Bates & Harrison, 1997; Gray, 1831; Harshey & Chandra, 2001; Hutson  et al.  2001","P.M.C.B. Digana, V. Elangovan, A. Hutson, D.S. Joshi, G.H. Koli, A. Madhavan, G. Marimuthu, K. Nathar, H. Raghuram, E. Pandaranayaka, P. Patiath, M.S. Pradhan, Y.S. Priya, J. Vanitharani, K.D. Yardi",Rest of the participants,"Sinha, Gujarat, 1970, Rajasthan, 1972, Bihar, 1978-79; 
Usman, Madurai, 1978-81;
Bates <I>et al.</I>, Tamil Nadu, Gujarat, 1992; 
M.S. Pradhan, Tadoba National Park, Maharashtra, 1996
G. Marimuthu, Madurai, India, 1992-93, Population study 
C. Srinivasulu, Hyderabad, India, since 1995, Biodiversity"
"Rhinopoma microphyllum (Brünnich, 1782)",BAT102,Non Endemic to South Asia,LEAST CONCERN  in South Asia  ,"Bangladesh Least Concern 
India Least Concern 
Pakistan Least Concern ",Rhinopoma_microphyllum_map.pdf,"Vespertilio microphyllus  Brunnich, 1782 
Rhinopoma microphyllum kinneari  Wroughton, 1912 ",Bengali: Indur-lenji Chamchika  English: Greater Mouse-tailed Bat,Rhinopomatidae,Colonial. ,Desert regions. ,"Old ruins, buildings, tunnels, caves; up to 100m. ",,"Afghanistan, Arabia, Bangladesh, India, Iran, North Africa, Pakistan, Sumatra, Thailand","AFGHANISTAN: Chak naur, Chak wki sarkani, Chamchir cave, Dilaram, Guerechk, Hadda, Jalalabad, Kala Bnot, Khyber Pass, Konarha Provinces, Kvadjar Largar, Maung Loei, Moulmai cave, near Kandahar, Sarban-Qala: BANGLADESH: Northern, Eastern, Southeastern: INDIA: Andhra Pradesh: Palkonda; Bihar: Gajhundi; Gujarat: Anand, Baroda, Bhuj, Broach, Bundi, Junagadh; Madhya Pradesh: Asirgarh, Burhanpur, Gwalior, Nimar (West & East), Morar, Orcha, Sanchi; Maharashtra: Bhamer, Bombay, Nagpur, Songir, Usmanabad; New Delhi: New Delhi; Orissa: Bhubaneshwar; Rajasthan: Ajmer, Aligarh, Barmer, Bhimbharak, Bundi, Dungarpur, Jaisalmer, Jhalawar, Jhunjhunu, Jodhpur, Mandore tunnel and garden, Mehrangarh fort, Nagaur, Pali, Sawai Madhopur, Shrinathaji Kee haweli, Sirohi, Tonk, Udaipur, University press; Tamil Nadu: Madras; Uttar Pradesh: Agra, Fatehpur Sikri; PAKISTAN: Baluchistan: Las Bela, Sadikabad, Qutabpur; NWFP: Amb, Malakand Hills; Punjab: Ara, Gujrat, Jhelum, Mailsi, Multan, Rohtas, Sakesar; Sind: Gambat, Hyderabad, Karachi, Karchat Hills, Sukkur","> 20,000 sq km.","> 2,000 sq km.",Many,Stable,"Literature, field studies; Oberved, inferred.",,"Human interference, habitat loss. ",,,,4-6 years,"> 10,000 ",Not known,"Literature, field studies; Oberved, inferred",,LEAST CONCERN  ,,"Bangladesh Least Concern 
India Least Concern 
Pakistan Least Concern ","Assessed based on evidence, inference and on the consensus of field biologists.",,Not Evaluated,Lower Risk least concern,,Not listed,None,,"Survey, genetic research; taxonomic research ",Monitoring ,,The population in some parts of Rajasthan is increasing (Sinha).  Over growth of Prosopis juliflora at the entrance of the tunnels in which this bat occurs is a possibly affecting the population in Rajasthan (Senacha). ,"Bates & Harrison, 1997; Brunnich, 1782; Harshey & Chandra, 2001; Hutson  et al.  2001; Khan, 2001; Wroughton, 1912","A.C. Girish, J.K. Immanuel, S. Kandula, V.S. Korad, C.D. Koya, G. Nair, P.T. Nathan, A. Nobel, J.K. Raj, R. Rajashekar, K. Seedikkoya, T.K. Shrestha, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,"Sinha, Rajasthan, 1972-74, Gujarat, 1976 
Senacha, Rajasthan, 2001 till date."
"Rhinopoma muscatellumThomas, 1903 ",BAT103,Non Endemic to South Asia,NEAR THREATENED  in South Asia ,"India Near Threatened 
Pakistan Near Threatened ",Rhinopoma_muscatellum_map.pdf,"Rhinopoma muscatellum seianum  Thomas, 1913 ",Small mouse-tailed Bat,Rhinopomatidae,"Insectivorous, small colonies, deserted buildings ",Dry deserts,"Underground caverns, deserted buildings. 700-1100 m. ",,"Afghanistan, India, Iran, Pakistan, Oman, UAE","AFGHANISTAN: Dilaram, Kandahar: INDIA: Rajasthan: Genji; PAKISTAN: Baluchistan, Sibi, Uzhda Ridge",< 5000 sq km. ,"< 2,000 sq km. ",4.  Contiguous. ,No change.,Literature; inferred.,,None,,,,4-6 years,"< 2,500",Not known,Literature; inferred.,,"NEAR THREATENED 
Status based on the 4 locations reported in South Asia. The Afghan population may be affected due to war.",,"India Near Threatened 
Pakistan Near Threatened ","Assessed based on evidence, inference, precaution and on the consensus of field biologists.",,Not Evaluated,Lower Risk least concern,,Not listed,None,,Survey,Monitoring ,,Indian record of Genji specimen reported by Von Cackenbergag and de Vree 1994 needs detailed study. Population number based on limited number of colonies. Colonies of several hundreds were recorded from a locality. Occurs in small colonies and forages across large distances.,"Bates & Harrison, 1997; Hutson  et al.  2001; Thomas, 1903, 1913; Von Cackenberghe & de Vree, 1994","P.M.C.B. Digana, V. Elangovan, A. Hutson, D.S. Joshi, G.H. Koli, A. Madhavan, G. Marimuthu, K. Nathar, H. Raghuram, E. Pandaranayaka, P. Patiath, M.S. Pradhan, Y.S. Priya, J. Vanitharani, K.D. Yardi",Rest of the participants,None
"Rousettus aegyptiacus(E. Geoffroy, 1810)",BAT104,Non Endemic to South Asia,VULNERABLE in South Asia [B1ab(iii); D1] ,,Rousettus_aegyptiacus_map.pdf,"Pteropus aegypticus  E. Geoffroy, 1810 
Rousettus arabicus  Anderson & de Winton, 1902 ",Egyptian Fruit Bat ,Pteropodidae,"Frugivorous, gregarious",Desert / semi arid tracts,"Natural caves, underground irrigation tunnels, open wells, mosques, underside ceilings of tombs. 985m. ",,"Africa, Arabia, Iran, middle east, Pakistan, Turkey","PAKISTAN: Baluchistan: Lak Bidok, Panjg; Sind: Karachi, Kiotatta, Makli hills, Malir","5,001-20,000 sq km.","> 2,000 sq km.",6 / Not known. Contiguous.  ,Decrease in area < 10% in the last 5 years due to habitat alterations. Decrease in quality due to habitat due to alteration,Literature; Inferred.,,Not known. ,,,,4-6 years,< 250,Not known,Literature; estimated; range of opinion.,,"VULNERABLE B1ab(iii); D1  
Restricted number of mature individuals, restricted distribution in Pakistan with threats and no known localities in neighbouring Afghanistan.",,,Assessed based on evidence and on the consensus of field biologists.,,Not Evaluated,,Not Threatened,Not listed,None ,,Survey,Monitoring ,,Taxonomic relationship of R. aegyptiacus and R. leschenaulti deserves further review. Actual population estimate 240 based on limited distribution and small colony size (approximately 40 individuals) compared to Rousettus lescenaulti ,"Anderson, &. De Winton, 1902; Bates & Harrison, 1997; Geoffroy, 1810; Mickleburgh  et al.  1992; Roberts, 1977","S. Mistry, C. Srinivasulu, K.M. Swe, A. Thabah, Y.P. Sinha",Rest of the participants,None
"Rousettus leschenaulti(Desmarest, 1820)",BAT105,Non Endemic to South Asia,LEAST CONCERN  in South Asia ,"Bangladesh Least Concern 
Bhutan Near Threatened 
India Least Concern 
Nepal Near Threatened 
Pakistan Least Concern 
Sri Lanka Least Concern ",Rousettus_leschenaulti_map.pdf,"Pteropus leschenaulti  Desmarest, 1820 
Cynonycteris infuscata  Peters, 1873 
Cynopterous marginatus  Gray, 1843 
Cynopterus affinis  Gray, 1843 
Eleutherura fusca  Gray, 1870 
Pteropus pyrivorus  Hodgson, 1835 
Pteropus seminudus  Kelaart, 1850 ",Bengali-Kola Badur  English-Fulvous Fruit Bat,Pteropodidae ,Colonial,Arid area to hot humid forests. ,"Caves, wells, man made constructions. Up to 1600m. ",,"Bhutan, India, Myanmar, Nepal, Pakistan, Southeast Asia, southern China, Sri Lanka, Vietnam","BANGLADESH: Chakma Village, southeastern forest, Cox's Bazaar, Ghazni, Shirpur District, Kudum Cave, Whykeong Forest Office, Sylhet, Sunderbans; BHUTAN: Panjurmane: INDIA: Andhra Pradesh: Golconda Fort, Hyderabad city environs, Koduru, Visakapatanam; Arunachal Pradesh: Namdapha, Sei Josa; Bihar: Aurangabad, Hazaribag, Patna; Chhattisgarh: Bastar, Indravati National Park, Singhbum; Goa: Margao, Poinguinan, Vaddam Bardez; Gujarat: Baroda, Broach, Mehmadabad; Himachal Pradesh: Kangra, Kulu, Mandi;Jammu & Kashmir: Jhajjar Kotli; Karnataka: Belgaum, Gersoppa, Hampi, Krishnapur, Muroor, Nagarhole, Virajpet; Kerala: Ernakulam, Kadalundy, Mylandy, Silent Valley, Suchundrum, Terur, Trivandrum; Madhya Pradesh: Balaghat, Jabalpur, Kanha National Park, Lamataghat, Mandla, Mandu, Tanakpur, Umaria; Maharashtra: Alibag, Aurangabad, Chikalda, Elephanta, Ellora, Ghatmatha, Jogeshwari, Kandri, Kanheri, Khandala, Mahabaleshwar, Mansar, Marathwada, Poona, Ratnagiri, Satara; Meghalaya: East Garo Hills, East Khasi Hills, Jaintia Hills, South Garo Hills; Orissa: Cuttack, Keonjhar, Puri, Sambalpur, Sundergarh; Rajasthan: Jodhpur, Gagaron Ka Kila, Nasirabad; Sikkim: 17km WSW Mangam; Tamil Nadu: Cheranmahadevi, Cumbum, Madras, Morappanadu, Nanganeri, Palayamkottai, Senbagamanallur, Sri Vaikundam, Suruli Hills, Theni, Thirukkurgudi, Thirupparangundram, Vannathiparai, Venkatachalam, Zakampatti, Tripura, Kanchanpur; Uttaranchal: Dehra Dun, Kaladungi, Naini Tal, Pauri, Pithoragarh; Uttar Pradesh: Almora, Chunar; West Bengal: Bankura, Darjeeling, Hugli, Jalpaiguri, Kolkata, Medinipur, South 24-parganas; MYANMAR (NORTHERN): Mingun, Moulmein, Pagan, Pegu; NEPAL: Boitari, Kathmandu; PAKISTAN: NWFP: Malakand; Punjab: Lahore, Muzzaffarabad, Sialkot; Sind: Karachi, Malir; SRI LANKA: Central Province: Gammaduwa, Kandy, Matale, Pallama, Peradeniya, Pundaluoya, Urugala; North Central Province: Anuradhapura, Galkulama; North Western Province: Kalpitiya, Kurnegala district; Sabaragamuwa Province: Bogala, Pagoda, Rathnapara district; Southern Province: Hambantota, Mapalagama; Uva Province: Badulla district, Koslanda, Passara; Western Province: Bulathsinghala, Colombo, Mount Laviniya","> 20,000 sq km. ","> 2,000 sq km. ",Many.,Not known,"Field studies, literature; Observed, inferred.",,"Exploitation, hunting, tourism. ",,,,4-6 years,"> 10,000",Not known,"Field study, museum, literature, informal sightings; Observed, inferred",,LEAST CONCERN ,,"Bangladesh Least Concern 
Bhutan Near Threatened 
India Least Concern 
Nepal Near Threatened 
Pakistan Least Concern 
Sri Lanka Least Concern ","Assessed based on evidence, inference and on the consensus of field biologists.",,Not Evaluated,,Not Threatened ,Not listed,"INDIA: Arunachal Pradesh: Namdapha Biosphere Reserve; Karnataka: Nagarhole Wildlife Sanctuary; Orissa: Sambalpur Wildlife Sanctuary; Chhattisgarh: Indravati National Park; Madhya Pradesh: Kanha National Park, ",,Survey,Monitoring ,,"Colonies as much as 10,000 (Marimuthu). Hunted for meat at Garo hills in Meghalaya (Y.P. Sinha). ","Bates & Harrison, 1997; Desmarest, 1820; Gray, 1870; Harshey & Chandra, 2001; Hodgson, 1835; Kelaart, 1850; Khan, 2001; Mickleburgh  et al.  1992; Peters, 1873. ","A.C. Girish, Immanuel, J.K., S. Kandula, V.S. Korad, C.D. Koya, G. Nair, P.T. Nathan, A. Nobel, J.K. Raj, R. Rajashekar, K. Seedikkoya, T.K. Shrestha, E.A.A. Shukkur, D.P. Swamidoss, W. Yapa",Rest of the participants,"Sinha in Rajasthan, 1980, 81, Gujarat, 1981, Bihar, 1986, Garo hills, 1990-94
Marimuthu in Cheranmahadevi, Tirunelveli, 1993 
Bates et al., in Aurangabad, Ellora, Mandoor, Mahabaleswar, 1992. 
E.A. A. Shukkur in Kadalundy, Kerala, 1980-2001, Ecology 
J. Vanitharani & Marimuthu, Thirnelveli District, Tamil Nadu, 1991-1998, Flight mechanism, bodyweight change and ectoparasites. 
J. Prabha & J. Vanitharani, Thirnelveli District, 2000-onwards, Survey of bats in Thirnelveli District and their role in the ecosystem. 
H. Raghuram in Thirupulankundram Kambam, 2000-2002, Ecology and Behaviour. 
K. Immanuel, J. Balasingh & D.P. Suvamidors in Chammadri, 1997-2000, Population estimation, roost habitat, feeding and parasites.
D.S. Joshi in Mahabaleshwar, 2001, Field study. 
Yapa & Digana in Sri Lanka, 1996 onwards, Survey
C. Srinivasulu & B. Srinivasulu in Golconda fort, Hyderabad, 1995 onwards, Population monitoring
B. Srinivasulu & C. Srinivasulu in Hyderabad city environs, 1997 onwards, Monitoring the effects of control netting in grape orchards"
"Scotoecus pallidus(Dobson, 1876)",BAT106,"Endemic to South Asia (India, Bangladesh, Pakistan)",NEAR THREATENED  ,"India Near Threatened 
Pakistan Near Threatened   ",Scotoecus_pallidus_map.pdf,"Scotophilus pallidus  Dobson, 1876 
?Vespertilio noctulinus  I. Geoffroy, 1831 ",Desert Yellow Bat ,Vespertilionidae,"Crevices of buildings, tree holes, insectivorous","Dry tropical woods, urban areas, buildings, scrub vegetation","Crevices of deserted buildings, tree holes. Up to 2500m. ",,"Endemic to South Asia (India, Bangladesh, Pakistan)","INDIA: Bihar: Bhagalpur,  Darbhanga, Muzaffarpur; Himachal Pradesh: Kulu Valley; Jharkhand: Santal Pargana; Maharashtra: Pune (?); Uttar Pradesh: Lucknow; West Bengal: Kolkata; PAKISTAN: Punjab: Mian Mir, Muzaffargarh, Sialkot; Sind: Kashmor, Khaipur Nathan Shah, Mirpur, Naundero, near Shikarpur","> 20,000 sq km. ","> 2,000 sq km. ",> 20. Fragmented. ,"Loss of habitat, change in quality of habitat.","Field study, literature; Observed, inferred",,"Human interference, alien invasive species, habitat loss. The influence on the population well understood, not reversible and have not ceased to be a threat.",,,,4-6 years,"> 10,000",Not known,Indirect information; inferred; hypothetical,,"NEAR THREATENED  
Known in relatively few sites and is prone to threats.",,"India Near Threatened 
Pakistan Near Threatened   ","Assessed based on evidence, inference and on the consensus of field biologists.",,Not Evaluated,Lower Risk least concern,,Not listed,None,,"Survey, life history, ecological studies","Monitoring, habitat management, public awareness",,"This endemic bat appears at the moment to require no specific conservation or management. Recorded for the first time in western India.  Pune records need to be taxonomically verified. Population numbers based on the number of locations and roosting sites. Around 10 individuals present in a colony. Because of urbanization, breaking down of old buildings and sometimes large trees there is every likelihood of decline in population in western India (Pune). The status was derived considering the number of mature individuals, fragmented population and probable threats. It is the only species of the genus in the region.","Bates & Harrison, 1997; Dobson, 1876; Geoffroy, 1831; Hutson  et al.  2001; Korad and Yardi (In prep.); Sinha, 1986; Wilson and Reeder, 1993","D.P.S. Doss, V. Elangovan, A.M. Hutson, D.S. Joshi, G.H. Koli, A. Madhavan, K. Nathar, P. Patiath, P.J.E. Pandaranayaka, M.S. Pradhan, Y.S. Priya, Y.P. Sinha, K.D. Yardi",Rest of the participants,"ZSI, Punjab 1922, U.P.
V.S. Korad, K.D. Yardi, Pune, Maharashtra, 1999, Faunistic survey of bats from Pune UGC, minor project to Fergusson College, Pune"
"Scotomanes ornatus(Blyth, 1851)",BAT107,Non Endemic to South Asia,LEAST CONCERN  in South Asia ,"Bangladesh Near Threatened 
India Least Concern 
Nepal Near Threatened ",Scotoecus_ornatus_map.pdf,"Nycticejus ornatus  Blyth, 1851 
?Nycticejus emarginatus  Dobson, 1851 
Nycticejus nivicolus  Hodgson in Horsfield, 1855 
Scotomanes ornatus imbrensis  Thomas, 1921 ",Harlequin Bat,Vespertilionidae ,,Warm valleys,,,"China, India, Bangladesh, Myanmar, Thailand, Vietnam","BANGLADESH: Sylhet, northeastern forest: INDIA: Arunachal Pradesh: Dening; Assam: Assam; Manipur: 16 miles north Imphal; Meghalaya: Cherrapunji, Daragiri, Jowai, Konshnong; Nagaland: Head Iril Valley, Kohima; Sikkim: Sikkim; West Bengal: Pashok, Singla, Sivok, Tong Song; MYANMAR (NORTHERN): Mahtum, Nam Tamai Valley, Sumka Uma; NEPAL: Sankhuwasabha","> 20,000 sq km. ","> 2,000 sq km. ",Many.,Habitat loss,Literature; inferred.,,Habitat loss,,,,4-6 years,"< 2,500",Not known ,"Field study, museum record",,"LEAST CONCERN 
Population size cannot be determined; the number of localities and its fairly widespread distribution suggests that at the moment this species is not threatened.",,"Bangladesh Near Threatened 
India Least Concern 
Nepal Near Threatened ","Assessed based on evidence, inference and on the consensus of field biologists.",,Lower Risk near threatened,Lower Risk near threatened,,Not listed,None,,"Survey, ecology","Monitoring, habitat management",Techniques not known at all. ,"Previously a synonym of S. emarginatus, it is considered to be a separate species.  Locations and subpopulations based on fairly extensive distribution in northeastern India and Myanmar. It is widespread but apparently not a common species. ","Bates & Harrison, 1997; Blyth, 1851; Dobson, 1871; Horsfield, 1855; Hutson  et al.  2001; Khan, 2001; Thomas, 1921","P.J.J. Bates, P.C.M.B. Digana, S. Kandula, G. Nair, R. Rajashekar, E.A.A. Shukkur, A. Thabah, W. Yapa",Rest of the participants,"BNHS, West Bengal, Assam 1915-20; ZSI, West Bengal 1863
Nath in Kashmir 1987"
